commune,etat,activite_principale,soussection,section,date_creation,date_fermeture
CARQUEFOU,Fermé,68.20B,Activités immobilières,Activités immobilières,2006-05-10,2020-07-29
CHANTONNAY,Actif,35.11Z,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné","Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2020-02-24,
LES MAGNILS-REIGNIERS,Actif,35.11Z,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné","Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2021-03-03,
BELLEVIGNY,Actif,35.11Z,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné","Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2022-01-20,
LONGEVES,Actif,35.11Z,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné","Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2020-02-24,
MACHECOUL-SAINT-MEME,Actif,43.33Z,Travaux de construction spécialisés,Construction,2018-05-17,
TRIGNAC,Actif,93.12Z,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",1996-05-02,
LA CHAPELLE LAUNAY,Fermé,47.62Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2023-09-21,2024-01-29
LES SABLES D'OLONNE,Fermé,96.02B,Autres services personnels,Autres activités de services,2015-06-03,2022-03-30
HERIC,Actif,82.11Z,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,2021-05-25,
MOUTIERS-LES-MAUXFAITS,Actif,81.22Z,Services relatifs aux bâtiments et aménagement paysager,Activités de services administratifs et de soutien,2023-01-01,
L'AIGUILLON-LA-PRESQU'ILE,Fermé,34.2B,Fabrication de matériel de transport,Industrie manufacturière,2003-04-17,
LA BAULE-ESCOUBLAC,Actif,68.20B,Activités immobilières,Activités immobilières,2017-09-11,
SAINTE-FLAIVE-DES-LOUPS,Actif,96.09Z,Autres services personnels,Autres activités de services,2022-07-07,
SAINTE-PAZANNE,Actif,82.11Z,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,2022-05-02,
NANTES,Actif,96.04Z,Autres services personnels,Autres activités de services,2009-03-01,
PIERRIC,Fermé,01.2A,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",1987-12-31,2006-07-06
L' OIE,Actif,47.99A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2013-01-23,
LE MANS,Fermé,81.10Z,Services relatifs aux bâtiments et aménagement paysager,Activités de services administratifs et de soutien,2010-04-13,2019-01-10
LE MANS,Fermé,68.10Z,Activités immobilières,Activités immobilières,2016-12-15,2020-10-26
CHOLET,Actif,68.20B,Activités immobilières,Activités immobilières,2003-03-05,
ANGERS,Actif,78.20Z,Activités liées à l'emploi,Activités de services administratifs et de soutien,2011-12-09,
SAUMUR,Fermé,78.20Z,Activités liées à l'emploi,Activités de services administratifs et de soutien,2010-11-15,2019-12-19
CHALLANS,Actif,68.10Z,Activités immobilières,Activités immobilières,2023-10-18,
CHALLANS,Fermé,68.10Z,Activités immobilières,Activités immobilières,2017-02-15,2023-10-18
LES SABLES D'OLONNE,Actif,45.20A,Commerce et réparation d'automobiles et de motocycles,Commerce ; réparation d'automobiles et de motocycles,2000-06-29,
LA CHAPELLE-HEULIN,Fermé,68.20B,Activités immobilières,Activités immobilières,1997-08-22,2010-09-01
SAINT-GEORGES-SUR-LOIRE,Fermé,01.13Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2010-03-03,2013-12-31
CARQUEFOU,Fermé,90.01Z,"Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",2004-09-07,2017-09-19
ALLONNES,Actif,85.51Z,Enseignement,Enseignement,2021-12-17,
TRELAZE,Fermé,47.99A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2013-02-15,2015-09-01
GESNES-LE-GANDELIN,Actif,33.20A,Réparation et installation de machines et d'équipements,Industrie manufacturière,2021-11-08,
MACHECOUL-SAINT-MEME,Actif,96.09Z,Autres services personnels,Autres activités de services,2023-01-01,
ERDRE-EN-ANJOU,Actif,01.11Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",1995-01-01,
VERTOU,Fermé,90.01Z,"Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",2005-04-14,2019-07-01
SAINT-PROUANT,Actif,47.99A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2016-10-26,
LES SABLES D'OLONNE,Actif,96.02A,Autres services personnels,Autres activités de services,2014-07-01,
BEAUPREAU-EN-MAUGES,Actif,68.20B,Activités immobilières,Activités immobilières,2004-03-18,
SAUTRON,Fermé,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2008-04-01,2010-09-27
SAINT-CHRISTOPHE-DU-LIGNERON,Fermé,45.4A,Construction,Construction,1999-07-01,2003-07-01
SAINT-MARTIN-DES-NOYERS,Actif,68.20B,Activités immobilières,Activités immobilières,2020-07-17,
CHEMILLE-EN-ANJOU,Actif,68.20B,Activités immobilières,Activités immobilières,1982-02-24,
SAINT-NAZAIRE,Actif,85.52Z,Enseignement,Enseignement,2023-10-05,
NANTES,Actif,86.90D,Activités pour la santé humaine,Santé humaine et action sociale,2021-07-01,
ASSERAC,Actif,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2021-07-01,
MONTFORT-LE-GESNOIS,Actif,85.59B,Enseignement,Enseignement,2020-01-01,
OMBREE D'ANJOU,Actif,68.20B,Activités immobilières,Activités immobilières,2020-12-18,
LA ROCHE-SUR-YON,Fermé,73.11Z,Publicité et études de marché,"Activités spécialisées, scientifiques et techniques",2010-04-01,2012-07-10
SAINT-HERBLAIN,Actif,68.20B,Activités immobilières,Activités immobilières,1987-03-21,
AVRILLE,Fermé,43.32B,Travaux de construction spécialisés,Construction,2022-10-17,2025-02-05
GENNES-VAL-DE-LOIRE,Actif,68.20B,Activités immobilières,Activités immobilières,2020-12-08,
SAINT-BARTHELEMY-D ANJOU,Actif,64.20Z,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,2022-07-05,
REZE,Actif,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2024-10-23,
COUERON,Fermé,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2017-04-28,2020-08-07
ANGERS,Actif,86.90D,Activités pour la santé humaine,Santé humaine et action sociale,2001-02-22,
SAVENAY,Fermé,29.2F,Fabrication de machines et équipements,Industrie manufacturière,1996-10-01,
ARNAGE,Fermé,47.89Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2009-04-21,2018-03-20
DIVATTE-SUR-LOIRE,Actif,85.51Z,Enseignement,Enseignement,2011-11-19,
NANTES,Actif,94.99Z,Activités des organisations associatives,Autres activités de services,1993-11-10,
GENNES-VAL-DE-LOIRE,Actif,14.13Z,Industrie de l'habillement,Industrie manufacturière,2025-04-01,
ANGERS,Actif,14.13Z,Industrie de l'habillement,Industrie manufacturière,2000-01-04,
LE MANS,Fermé,59.13,Commerce de gros inter-industriel,Commerce de fournitures diverses pour les utilisateurs professionnels du commerce et des services,,
LES SORINIERES,Fermé,96.09Z,Autres services personnels,Autres activités de services,2022-02-01,2023-12-31
LA MEILLERAYE-DE-BRETAGNE,Fermé,96.09Z,Autres services personnels,Autres activités de services,2017-12-04,2020-05-19
LA ROCHE-SUR-YON,Actif,85.59A,Enseignement,Enseignement,2016-01-01,
CHOLET,Fermé,28.5D,Métallurgie et travail des métaux,Industrie manufacturière,1998-10-01,2005-01-01
AUBIGNY-LES CLOUZEAUX,Fermé,85.1C,Santé et action sociale,Santé et action sociale,1996-11-09,1998-12-31
BELLEVIGNY,Fermé,51.5L,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,2006-12-04,2007-08-30
ANGRIE,Actif,47.99A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2019-07-29,
SAINT-URBAIN,Actif,90.03A,"Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",2020-01-10,
SAINT-MARS-DU-DESERT,Actif,94.99Z,Activités des organisations associatives,Autres activités de services,1994-11-01,
VAAS,Actif,94.99Z,Activités des organisations associatives,Autres activités de services,2002-03-18,
MONTAIGU-VENDEE,Actif,68.20B,Activités immobilières,Activités immobilières,2024-06-05,
NANTES,Fermé,52.5Z,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1998-11-02,
SAINT-PIERRE-LA-COUR,Actif,86.90D,Activités pour la santé humaine,Santé humaine et action sociale,2024-09-01,
BEAUFAY,Fermé,10.71C,Industries alimentaires,Industrie manufacturière,2008-11-05,2012-08-28
TELOCHE,Actif,47.99A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2020-11-04,
TURQUANT,Actif,01.21Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2007-04-01,
NANTES,Actif,68.20B,Activités immobilières,Activités immobilières,2020-05-28,
CIZAY-LA-MADELEINE,Actif,68.20B,Activités immobilières,Activités immobilières,2018-04-20,
NANTES,Actif,68.32B,Activités immobilières,Activités immobilières,2016-09-03,
NOZAY,Actif,45.11Z,Commerce et réparation d'automobiles et de motocycles,Commerce ; réparation d'automobiles et de motocycles,2012-04-13,
LA ROCHE-SUR-YON,Fermé,68.20B,Activités immobilières,Activités immobilières,1993-04-01,
NOZAY,Actif,68.20B,Activités immobilières,Activités immobilières,2000-04-01,
CHEFFES,Actif,66.19B,Activités auxiliaires de services financiers et d'assurance,Activités financières et d'assurance,2023-05-11,
JARD-SUR-MER,Fermé,46.49Z,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2021-12-21,2022-09-15
MAUGES-SUR-LOIRE,Fermé,86.90D,Activités pour la santé humaine,Santé humaine et action sociale,2023-07-10,2024-06-06
SAINT-BREVIN-LES-PINS,Fermé,82.99Z,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,2012-04-01,2012-08-30
LA REGRIPPIERE,Actif,47.99A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2019-01-08,
CRAON,Actif,01.11Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2021-05-01,
ANGERS,Actif,53.20Z,Activités de poste et de courrier,Transports et entreposage,2024-07-01,
CARQUEFOU,Actif,68.20A,Activités immobilières,Activités immobilières,2011-12-21,
CHAUVE,Actif,35.11Z,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné","Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2021-08-10,
DOMPIERRE-SUR-YON,Fermé,35.11Z,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné","Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2021-08-10,2023-03-09
NORT-SUR-ERDRE,Actif,74.20Z,"Autres activités spécialisées, scientifiques et techniques","Activités spécialisées, scientifiques et techniques",2025-02-01,
AVRILLE,Actif,68.20B,Activités immobilières,Activités immobilières,2014-09-02,
MESLAY-DU-MAINE,Fermé,45.11Z,Commerce et réparation d'automobiles et de motocycles,Commerce ; réparation d'automobiles et de motocycles,2013-01-01,2020-03-12
SEGRE-EN-ANJOU BLEU,Actif,45.20A,Commerce et réparation d'automobiles et de motocycles,Commerce ; réparation d'automobiles et de motocycles,2010-12-22,
SAINT-NAZAIRE,Fermé,71.1Z,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1988-10-01,
LAVAL,Actif,68.20A,Activités immobilières,Activités immobilières,2023-02-06,
LE MANS,Actif,47.99A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2023-09-01,
GENESTON,Actif,88.10A,Action sociale sans hébergement,Santé humaine et action sociale,1986-07-01,
LAVAL,Actif,74.20Z,"Autres activités spécialisées, scientifiques et techniques","Activités spécialisées, scientifiques et techniques",2013-11-01,
NANTES,Actif,53.20Z,Activités de poste et de courrier,Transports et entreposage,2023-07-01,
ANGERS,Fermé,66.30Z,Activités auxiliaires de services financiers et d'assurance,Activités financières et d'assurance,2017-07-21,2017-09-27
L'AIGUILLON-LA-PRESQU'ILE,Fermé,52.6D,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1991-06-01,
SAINT-HILAIRE-DES-LOGES,Actif,01.49Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2021-05-10,
LA CHAPELLE-SUR-ERDRE,Fermé,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,2015-07-16,2021-05-30
LA TESSOUALLE,Actif,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,2013-05-04,
AIZENAY,Actif,96.04Z,Autres services personnels,Autres activités de services,2021-01-01,
SEICHES-SUR-LE-LOIR,Fermé,46.90Z,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2001-07-01,2008-10-14
TALMONT-SAINT-HILAIRE,Fermé,68.20B,Activités immobilières,Activités immobilières,2013-09-24,2022-09-30
LE MANS,Actif,68.20B,Activités immobilières,Activités immobilières,1998-07-01,
LOIREAUXENCE,Fermé,43.99C,Travaux de construction spécialisés,Construction,2003-10-06,2011-12-31
NOIRMOUTIER EN L'ILE,Actif,85.51Z,Enseignement,Enseignement,2023-07-24,
ANGERS,Actif,68.20A,Activités immobilières,Activités immobilières,1995-05-04,
LES SABLES D'OLONNE,Fermé,43.22A,Travaux de construction spécialisés,Construction,2013-04-01,2017-08-01
MONTREVAULT-SUR-EVRE,Actif,68.20B,Activités immobilières,Activités immobilières,2023-02-09,
LA CHAPELLE-SUR-ERDRE,Fermé,68.20B,Activités immobilières,Activités immobilières,2014-01-22,2023-02-09
VALLET,Actif,01.41Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",1985-01-02,
SAINT-VINCENT-SUR-JARD,Actif,68.20A,Activités immobilières,Activités immobilières,2006-07-29,
SEGRE-EN-ANJOU BLEU,Actif,46.37Z,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2022-01-03,
ORVAULT,Actif,43.31Z,Travaux de construction spécialisés,Construction,2023-11-06,
ANGERS,Actif,68.31Z,Activités immobilières,Activités immobilières,2022-02-01,
ANGERS,Actif,73.20Z,Publicité et études de marché,"Activités spécialisées, scientifiques et techniques",2024-05-14,
ANGERS,Fermé,81.11,Location de biens immobiliers,Location de logements,,
SARCE,Fermé,56.30Z,Restauration,Hébergement et restauration,2011-06-01,2012-08-28
MACHECOUL-SAINT-MEME,Actif,43.99C,Travaux de construction spécialisés,Construction,2017-04-18,
ANGERS,Actif,49.32Z,Transports terrestres et transport par conduites,Transports et entreposage,2023-01-12,
LA ROCHE-SUR-YON,Fermé,86.23Z,Activités pour la santé humaine,Santé humaine et action sociale,2018-07-16,2019-12-06
SAINT-AIGNAN-DE-COUPTRAIN,Actif,68.20B,Activités immobilières,Activités immobilières,2022-03-17,
NANTES,Fermé,69.20Z,Activités juridiques et comptables,"Activités spécialisées, scientifiques et techniques",2006-01-03,2018-02-01
JOUE-L'ABBE,Actif,56.21Z,Restauration,Hébergement et restauration,2022-11-01,
LE MANS,Fermé,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,2013-10-01,2013-12-03
CHEMILLE-EN-ANJOU,Actif,01.21Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",1985-01-29,
