commune,etat,activite_principale,soussection,section,date_creation,date_fermeture
RIVES-DU-LOIR-EN-ANJOU,Actif,46.14Z,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2022-05-02,
ANGERS,Actif,41.10D,Construction de bâtiments,Construction,2011-04-01,
NANTES,Fermé,50.3B,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1998-12-22,2003-07-09
SAUMUR,Actif,85.51Z,Enseignement,Enseignement,2021-01-27,
SAINTE-PAZANNE,Actif,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2021-11-15,
VALLONS-DE-L'ERDRE,Fermé,77.32Z,Activités de location et location-bail,Activités de services administratifs et de soutien,2019-07-26,2024-01-01
TRELAZE,Actif,68.31Z,Activités immobilières,Activités immobilières,2011-02-01,
SAINT-NAZAIRE,Actif,43.33Z,Travaux de construction spécialisés,Construction,2019-09-01,
LA CHEVROLIERE,Actif,68.31Z,Activités immobilières,Activités immobilières,2021-07-10,
LA CHAPELLE-D'ALIGNE,Actif,94.99Z,Activités des organisations associatives,Autres activités de services,2010-02-25,
FONTENAY-LE-COMTE,Actif,94.99Z,Activités des organisations associatives,Autres activités de services,2019-01-04,
LE MANS,Actif,68.20A,Activités immobilières,Activités immobilières,2021-05-25,
CORZE,Actif,95.23Z,Réparation d'ordinateurs et de biens personnels et domestiques,Autres activités de services,2018-11-28,
SAFFRE,Actif,94.99Z,Activités des organisations associatives,Autres activités de services,2022-03-03,
SAFFRE,Fermé,94.99Z,Activités des organisations associatives,Autres activités de services,2010-01-01,2022-03-03
GENESTON,Fermé,68.20B,Activités immobilières,Activités immobilières,2010-05-20,2024-09-12
SEGRE-EN-ANJOU BLEU,Actif,68.20B,Activités immobilières,Activités immobilières,2004-12-10,
CHATEAU-GONTIER-SUR-MAYENNE,Actif,68.20A,Activités immobilières,Activités immobilières,1991-10-07,
SAINT-BREVIN-LES-PINS,Fermé,43.32A,Travaux de construction spécialisés,Construction,2006-03-01,2025-01-31
MARSAC-SUR-DON,Actif,86.90D,Activités pour la santé humaine,Santé humaine et action sociale,2023-03-01,
RIVES-DU-LOIR-EN-ANJOU,Actif,96.02A,Autres services personnels,Autres activités de services,2011-04-01,
PORNICHET,Actif,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,2024-11-04,
NANTES,Fermé,32.13Z,Autres industries manufacturières,Industrie manufacturière,2017-03-01,2020-12-01
MOUCHAMPS,Actif,55.20Z,Hébergement,Hébergement et restauration,2020-03-12,
BEAUPREAU-EN-MAUGES,Fermé,47.11C,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2006-10-17,2014-09-26
QUELAINES-SAINT-GAULT,Actif,47.76Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2004-10-26,
ORVAULT,Actif,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,2024-07-01,
LA BAULE-ESCOUBLAC,Actif,96.09Z,Autres services personnels,Autres activités de services,2023-01-20,
SAINT-HERBLAIN,Fermé,86.90D,Activités pour la santé humaine,Santé humaine et action sociale,1983-01-03,
ORVAULT,Fermé,86.90F,Activités pour la santé humaine,Santé humaine et action sociale,2019-07-01,2020-07-31
LA BAULE-ESCOUBLAC,Actif,68.20B,Activités immobilières,Activités immobilières,1988-09-27,
SAINT-MICHEL-CHEF-CHEF,Actif,68.20B,Activités immobilières,Activités immobilières,2008-01-01,
AMNE,Actif,68.20B,Activités immobilières,Activités immobilières,2025-02-01,
ORVAULT,Actif,68.20B,Activités immobilières,Activités immobilières,1980-11-01,
ANGERS,Actif,41.10D,Construction de bâtiments,Construction,2023-01-06,
VION,Actif,93.19Z,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",2017-02-02,
LE MANS,Fermé,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,2022-07-18,2023-01-20
MONTOIR-DE-BRETAGNE,Fermé,71.12B,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",2008-02-21,2024-11-30
SAINT-MICHEL-CHEF-CHEF,Fermé,81.30Z,Services relatifs aux bâtiments et aménagement paysager,Activités de services administratifs et de soutien,2022-03-13,2023-01-01
NANTES,Actif,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,2017-10-13,
NANTES,Fermé,47.91B,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2019-12-01,2022-10-01
VERTOU,Actif,43.34Z,Travaux de construction spécialisés,Construction,2022-05-17,
SAINT-NAZAIRE,Fermé,81.22Z,Services relatifs aux bâtiments et aménagement paysager,Activités de services administratifs et de soutien,2012-05-10,2014-05-31
YVRE-L'EVEQUE,Actif,64.20Z,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,2021-09-06,
SAINT-GEORGES-SUR-LOIRE,Actif,70.10Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2020-11-12,
VAIGES,Actif,43.21A,Travaux de construction spécialisés,Construction,2024-10-01,
REZE,Actif,41.10C,Construction de bâtiments,Construction,2016-01-06,
LA TURBALLE,Fermé,64.19Z,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,2003-01-01,2008-05-01
LA TURBALLE,Actif,64.19Z,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,2008-05-01,
NANTES,Fermé,69.10Z,Activités juridiques et comptables,"Activités spécialisées, scientifiques et techniques",2018-01-01,2019-09-26
MAUGES-SUR-LOIRE,Fermé,86.90D,Activités pour la santé humaine,Santé humaine et action sociale,2023-01-01,2024-01-01
GRANDCHAMP-DES-FONTAINES,Fermé,41.20A,Construction de bâtiments,Construction,2017-07-04,2023-12-31
LA SEGUINIERE,Fermé,43.99C,Travaux de construction spécialisés,Construction,2020-10-15,2023-12-29
NANTES,Actif,74.10Z,"Autres activités spécialisées, scientifiques et techniques","Activités spécialisées, scientifiques et techniques",2025-01-01,
LA ROCHE-SUR-YON,Fermé,74.1J,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",2001-03-20,2004-05-19
NORT-SUR-ERDRE,Actif,90.03A,"Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",2019-01-08,
LA REMAUDIERE,Actif,42.99Z,Génie civil,Construction,2019-04-04,
LA REMAUDIERE,Actif,84.11Z,Administration publique et défense ; sécurité sociale obligatoire,Administration publique,1983-03-01,
NANTES,Actif,31.09B,Fabrication de meubles,Industrie manufacturière,2022-04-27,
SAINT-JULIEN-DE-CONCELLES,Actif,85.59B,Enseignement,Enseignement,2019-10-01,
LE MANS,Actif,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2019-11-21,
REZE,Actif,53.20Z,Activités de poste et de courrier,Transports et entreposage,2021-04-08,
LA CHAIZE-LE-VICOMTE,Fermé,90.01Z,"Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",2006-04-01,2021-10-07
SAINT-GILLES-CROIX-DE-VIE,Fermé,52.4J,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,2005-02-01,2005-06-30
NANTES,Actif,66.22Z,Activités auxiliaires de services financiers et d'assurance,Activités financières et d'assurance,2022-09-30,
ERNEE,Actif,45.20A,Commerce et réparation d'automobiles et de motocycles,Commerce ; réparation d'automobiles et de motocycles,2022-08-01,
CELLIER (LE),Actif,70.10Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2018-09-20,
LOIRE-AUTHION,Fermé,88.99B,Action sociale sans hébergement,Santé humaine et action sociale,2009-11-20,2017-01-01
ANGERS,Actif,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,2018-09-25,
